FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.299842484,0.458952963,0.328358203,0.600000024
0.300630063,0.458952963,0.328358203,0.600000024
0.301417642,0.458952963,0.328358203,0.600000024
0.302205221,0.458952963,0.328358203,0.600000024
0.302992799,0.458952963,0.328358203,0.600000024
0.303780378,0.458952963,0.328358203,0.600000024
0.304567957,0.458952963,0.328358203,0.600000024
0.305355536,0.458952963,0.328358203,0.600000024
0.306143114,0.458952963,0.328358203,0.600000024
0.306930693,0.460738122,0.330188692,0.600000024
0.307718272,0.460738122,0.330188692,0.600000024
0.308505851,0.460738122,0.330188692,0.600000024
0.309293429,0.460738122,0.330188692,0.600000024
0.310081008,0.460738122,0.330188692,0.600000024
0.310868587,0.460738122,0.330188692,0.600000024
0.311656166,0.460738122,0.330188692,0.600000024
0.312443744,0.460738122,0.330188692,0.600000024
0.313231323,0.460738122,0.330188692,0.600000024
0.314018902,0.460738122,0.330188692,0.600000024
0.314806481,0.460738122,0.330188692,0.600000024
0.315594059,0.460738122,0.330188692,0.600000024
0.316381638,0.460738122,0.330188692,0.600000024
0.317169217,0.460738122,0.330188692,0.600000024
0.317956796,0.460738122,0.330188692,0.600000024
0.318744374,0.462586850,0.330357134,0.602150559
0.319531953,0.462586850,0.330357134,0.602150559
0.320319532,0.462586850,0.330357134,0.602150559
0.321107111,0.462586850,0.330357134,0.602150559
0.321894689,0.462586850,0.330357134,0.602150559
0.322682268,0.462586850,0.330357134,0.602150559
0.323469847,0.462586850,0.330357134,0.602150559
0.324257426,0.462586850,0.330357134,0.602150559
0.325045005,0.462586850,0.330357134,0.602150559
0.325832583,0.462586850,0.330357134,0.602150559
0.326620162,0.462586850,0.330357134,0.602150559
0.327407741,0.462586850,0.330357134,0.602150559
0.328195320,0.462586850,0.330357134,0.602150559
0.328982898,0.462586850,0.330357134,0.602150559
0.329770477,0.464543879,0.333333343,0.602150559
0.330558056,0.464543879,0.333333343,0.602150559
0.331345635,0.464543879,0.333333343,0.602150559
0.332133213,0.464543879,0.333333343,0.602150559
0.332920792,0.464543879,0.333333343,0.602150559
0.333708371,0.464543879,0.333333343,0.602150559
0.334495950,0.464543879,0.333333343,0.602150559
0.335283528,0.464543879,0.333333343,0.602150559
0.336071107,0.464543879,0.333333343,0.602150559
0.336858686,0.464543879,0.333333343,0.602150559
0.337646265,0.464543879,0.333333343,0.602150559
0.338433843,0.464543879,0.333333343,0.602150559
0.339221422,0.464543879,0.333333343,0.602150559
